,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
0,0.7333333333333333,0.0001449738024935494,0.9223300970873787,0.972972972972973,0.4982206405693951,excellent,0.42857142857142855,gas,0.02539955936070502,0.0,manual,4wd,hatchback,ut,0.8827292965016795,0.2762974225728275,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.7333333333333333,0.0007089735491611696,0.9611650485436911,0.2702702702702703,0.3907473309608541,excellent,1.0,gas,3.5999942400092163e-06,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0.7333333333333333,0.0003763422064730859,0.9514563106796139,0.2972972972972973,0.7800711743772243,excellent,1.0,gas,0.0030211951660877342,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0.7333333333333333,0.0007089735491611696,0.9611650485436911,0.2702702702702703,0.3907473309608541,excellent,1.0,gas,3.5999942400092163e-06,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0.7333333333333333,0.00025834140444347213,0.8834951456310698,0.4594594594594595,0.9544483985765125,excellent,0.8571428571428571,gas,0.029999552000716797,0.0,automatic,4wd,other,ut,0.6825091611775904,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0.7333333333333333,7.69419013234007e-05,0.8155339805825257,0.2702702702702703,0.36832740213523135,good,0.8571428571428571,diesel,0.03973295587898257,0.0,automatic,4wd,other,ut,0.8752611007147721,0.27719451249467475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0.7333333333333333,3.7251900640732694e-05,0.8834951456310698,0.35135135135135137,0.2231316725978648,good,0.42857142857142855,gas,0.044392328972273645,0.0,automatic,fwd,sedan,ut,0.8828504281574825,0.2758708343582429,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0.7333333333333333,6.72219011562167e-05,0.9611650485436911,0.16216216216216217,0.8359430604982206,excellent,1.0,electric,0.011199582080668671,0.0,automatic,other,other,ut,0.8823830698004473,0.2748984641632337,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,0.7333333333333333,0.0007089735491611696,0.9611650485436911,0.2702702702702703,0.40355871886121,excellent,1.0,diesel,3.5999942400092163e-06,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0.7333333333333333,0.0007089735491611696,0.9611650485436911,0.2702702702702703,0.45017793594306055,excellent,1.0,gas,3.5999942400092163e-06,0.0,automatic,fwd,other,ut,0.8813071917867014,0.2761343153143099,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0.7333333333333333,0.0002288007039353721,0.9417475728155367,0.2702702702702703,0.6274021352313167,excellent,1.0,gas,0.0034167945331287472,0.0,manual,rwd,other,ut,0.8813071917867014,0.2761343153143099,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0.7333333333333333,0.00022679190390082073,0.8446601941747574,0.2702702702702703,0.43772241992882566,good,0.0,gas,0.026938756897988962,0.0,automatic,4wd,truck,ut,0.8787300442750507,0.27726351941174,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0.7333333333333333,0.0001538838026468014,0.9514563106796139,0.6216216216216217,0.23701067615658364,excellent,0.42857142857142855,gas,0.014799576320677887,0.0,automatic,fwd,sedan,ut,0.8624879106792338,0.2172400482772392,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0.7333333333333333,0.0006479676111450428,0.9611650485436911,0.6216216216216217,0.13523131672597866,excellent,0.8571428571428571,gas,0.011199582080668671,0.0,automatic,rwd,coupe,ut,0.8624879106792338,0.2172400482772392,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,0.7333333333333333,0.0001538838026468014,0.9320388349514594,0.08108108108108109,0.035943060498220644,excellent,0.7142857142857142,gas,0.025999558400706557,0.0,automatic,rwd,coupe,ut,0.8624879106792338,0.2172400482772392,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
