,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
0,0.7333333333333333,0.13257875984266548,0.9223300970873787,0.972972972972973,0.49857040743388137,excellent,1.0,gas,0.18142623264637897,0.0,manual,4wd,hatchback,ut,0.5566652961168332,0.2135390845665679,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.7333333333333333,0.648357374176091,0.9611650485436911,0.2702702702702703,0.3917083631165118,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.5489052082628538,0.2130452208235747,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0.7333333333333333,0.34416551233712844,0.9514563106796139,0.2972972972972973,0.7805575411007863,excellent,0.6666666666666666,gas,0.02158006165731902,0.0,automatic,4wd,other,ut,0.5489052082628538,0.2130452208235747,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0.7333333333333333,0.648357374176091,0.9611650485436911,0.2702702702702703,0.3917083631165118,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.5489052082628538,0.2130452208235747,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0.7333333333333333,0.07036348417395685,0.8155339805825257,0.2702702702702703,0.369192280200143,good,0.0,diesel,0.28380809267820745,0.0,automatic,4wd,other,ut,0.5159131244892967,0.21625533515303097,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0.7333333333333333,0.03406691901421492,0.8834951456310698,0.35135135135135137,0.22337383845604003,good,1.0,gas,0.31708947739850685,0.0,automatic,fwd,sedan,ut,0.5573262828086205,0.21224744093104686,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0.7333333333333333,0.061474529440958825,0.9611650485436911,0.16216216216216217,0.8363116511794139,excellent,0.6666666666666666,other,0.0799973714210612,0.0,automatic,other,other,ut,0.5547760191946371,0.20930325323243304,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,0.7333333333333333,0.648357374176091,0.9611650485436911,0.2702702702702703,0.4045746962115797,excellent,0.6666666666666666,diesel,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.5489052082628538,0.2130452208235747,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0.7333333333333333,0.648357374176091,0.9611650485436911,0.2702702702702703,0.4503216583273767,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,fwd,other,ut,0.5489052082628538,0.2130452208235747,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0.7333333333333333,0.20923858695249595,0.9417475728155367,0.2702702702702703,0.6283059328091494,excellent,0.6666666666666666,gas,0.02440578401652576,0.0,manual,rwd,other,ut,0.5489052082628538,0.2130452208235747,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
