,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
0,0.7333333333333333,0.13257875984266548,0.9223300970873787,0.972972972972973,0.49857244825124913,excellent,1.0,gas,0.18142623264637897,0.0,manual,4wd,hatchback,ut,0.8827292965016795,0.2762974225728275,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.7333333333333333,0.07769687182868022,0.9611650485436911,0.2702702702702703,0.3911491791577445,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0.7333333333333333,0.34416551233712844,0.9514563106796139,0.2972972972972973,0.7805139186295503,excellent,0.6666666666666666,gas,0.02158006165731902,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0.7333333333333333,0.07769687182868022,0.9611650485436911,0.2702702702702703,0.3911491791577445,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0.7333333333333333,0.23625360187853242,0.8834951456310698,0.4594594594594595,0.9543183440399714,excellent,0.0,gas,0.21428346938134107,0.0,automatic,4wd,other,ut,0.6825091611775904,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0.7333333333333333,0.07036348417395685,0.8155339805825257,0.2702702702702703,0.36866523911491794,good,0.0,diesel,0.2685693387695393,0.0,automatic,4wd,other,ut,0.8752611007147721,0.27719451249467475,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0.7333333333333333,0.03406691901421492,0.8834951456310698,0.35135135135135137,0.22305496074232692,good,1.0,gas,0.31708947739850685,0.0,automatic,fwd,sedan,ut,0.8828504281574825,0.2758708343582429,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0.7333333333333333,0.061474529440958825,0.9611650485436911,0.16216216216216217,0.8361884368308351,excellent,0.6666666666666666,other,0.0799973714210612,0.0,automatic,other,other,ut,0.8823830698004473,0.2748984641632337,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,0.7333333333333333,0.07769687182868022,0.9611650485436911,0.2702702702702703,0.4039971448965025,excellent,0.6666666666666666,diesel,2.571435918388338e-05,0.0,automatic,4wd,other,ut,0.8813071917867014,0.2761343153143099,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0.7333333333333333,0.07769687182868022,0.9611650485436911,0.2702702702702703,0.4503925767309065,excellent,0.6666666666666666,gas,2.571435918388338e-05,0.0,automatic,fwd,other,ut,0.8813071917867014,0.2761343153143099,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
